languagename,soucelanguagename,isocode,genus,family,latitude,leafletlatitude,longitude,leafletlongitude,orderofdemnuman,table3,table4,table5,table6,table7,table8,table9,table10,table13and13b
Hani,Hani,hni,Burmese-Lolo,Sino-Tibetan,23d N,23,103d E,103,N-A-Dem-Num,,,Lg has numeral classifiers & Num further from noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Bai,Bai,bca,Bai,Sino-Tibetan,26d N,26,100d E,100,A-N-Dem-Num,,,Lg has numeral classifiers & Num further from noun than Dem,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Dulong,Dulong,duu,Nungish,Sino-Tibetan,28d N,28,98d20 E,98.3333333333333,,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,,,
Rawang,Rawang,raw,Nungish,Sino-Tibetan,27d30 N,27.5,97d30 E,97.5,,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Anong,Anong,nun,Nungish,Sino-Tibetan,27d20 N,27.3333333333333,98d45 E,98.75,N-A-Dem-Num,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num further from noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is verb & NAdj,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Galo,Galo,adl,Tani,Sino-Tibetan,28d10 N,28.1666666666667,94d40 E,94.6666666666667,A-N-Num-Dem,,,Lg has numeral classifiers & Num closer to noun than Dem,,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NNum
Mising,Mising,mrg,Tani,Sino-Tibetan,28d30 N,28.5,94d50 E,94.8333333333333,,,,,,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NNum
Miri (Hill),Miri (Hill),mrg,Tani,Sino-Tibetan,27d55 N,27.9166666666667,93d50 E,93.8333333333333,,,,,,,,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Tagin,Tagin,dap,Tani,Sino-Tibetan,28d N,28,94d15 E,94.25,,,,,,Adj is not verb & AdjN,,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,Adj is not verb & AdjN & NNum
Nyishi,Nyishi,njz,Tani,Sino-Tibetan,27d30 N,27.5,93d30 E,93.5,,,,,Lg has numeral classifiers & Adj closer to noun than Num,,,,,
Apatani,Apatani,apt,Tani,Sino-Tibetan,27d30 N,27.5,93d45 E,93.75,Dem-N-A-Num,Adj is not verb & Adj closer to noun than Num,,,Lg has numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & NAdj,Adj is not verb & NAdj & NNum
Idu,Idu,clk,Digaroan,Sino-Tibetan,29d20 N,29.3333333333333,95d50 E,95.8333333333333,,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Digaro,Digaro,mhu,Digaroan,Sino-Tibetan,28d25 N,28.4166666666667,96d E,96,,,,,,Adj is verb & NAdj,,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Lepcha,Lepcha,lep,Lepcha,Sino-Tibetan,27d10 N,27.1666666666667,88d30 E,88.5,,,,,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & NAdj & NNum
Hmong Njua,Hmong Njua,hnj,Miao-Yao,Miao-Yao,28d N,28,105d E,105,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Xong,Xong,mmr,Miao-Yao,Miao-Yao,28d20 N,28.3333333333333,109d40 E,109.666666666667,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Iu Mien,Iu Mien,ium,Miao-Yao,Miao-Yao,24d N,24,111d E,111,,,,,,,,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Bunu (Younuo),Bunu (Younuo),buh,Miao-Yao,Miao-Yao,24d N,24,107d E,107,,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Hlai (Baoding),Hlai (Baoding),lic,Hlai,Tai-Kadai,19d N,19,109d30 E,109.5,,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Gelao,Gelao,gqu,Kadai,Tai-Kadai,22d55 N,22.9166666666667,105d30 E,105.5,,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Dong (Southern),Dong (Southern),kmc,Kam-Tai,Tai-Kadai,27d N,27,109d E,109,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Sanjiang Kam,Sanjiang Kam,cov,Kam-Tai,Tai-Kadai,26d15 N,26.25,109d35 E,109.583333333333,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Maonan,Maonan,mmd,Kam-Tai,Tai-Kadai,25d N,25,108d E,108,,,,,,,,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Yay,Yay,pcc,Kam-Tai,Tai-Kadai,22d25 N,22.4166666666667,104d45 E,104.75,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Nung (in Vietnam),Nung (in Vietnam),nut,Kam-Tai,Tai-Kadai,21d55 N,21.9166666666667,106d25 E,106.416666666667,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Shan,Shan,shn,Kam-Tai,Tai-Kadai,22d N,22,98d E,98,N-A-Num-Dem,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Lao,Lao,lao,Kam-Tai,Tai-Kadai,18d N,18,103d E,103,,,,Lg has numeral classifiers & Num closer to noun than Dem,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Thai,Thai,tha,Kam-Tai,Tai-Kadai,16d N,16,101d E,101,N-A-Num-Dem,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Yong,Yong,yno,Kam-Tai,Tai-Kadai,18d20 N,18.3333333333333,99d E,99,,,,Lg has numeral classifiers & Num closer to noun than Dem,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,,,
Great Andamanese,Great Andamanese,akj,Great Andamanese,Great Andamanese,12d N,12,92d40 E,92.6666666666667,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Jarawa (in Andamans),Jarawa (in Andamans),anq,South Andamanese,South Andamanese,12d N,12,92d35 E,92.5833333333333,Dem-Num-N-A,,,Lg lacks numeral classifiers & Num closer to noun than Dem,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,Adj is not verb & NAdj & NumN
Shompen,Shompen,sii,Shompen,Shompen,7d N,7,93d45 E,93.75,,,,,,,,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Seediq,Seediq,trv,Atayalic,Austronesian,24d10 N,24.1666666666667,121d25 E,121.416666666667,Num-N-A-Dem,,Adj is verb & Adj closer to noun than Dem,,,Adj is verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,Adj is verb & NAdj & NumN
Rukai (Tanan),Rukai (Tanan),dru,Rukai,Austronesian,22d50 N,22.8333333333333,120d50 E,120.833333333333,Dem-Num-A-N,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & AdjN & NumN
Tsou,Tsou,tsu,Tsou,Austronesian,23d30 N,23.5,120d45 E,120.75,,,,,,Adj is verb & AdjN,,,,
Paiwan,Paiwan,pwn,Paiwan,Austronesian,22d30 N,22.5,120d50 E,120.833333333333,,,,,,Adj is verb & NAdj,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Amis,Amis,ami,East Formosan,Austronesian,23d20 N,23.3333333333333,121d20 E,121.333333333333,Dem-Num-A-N,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & AdjN & NumN
Chamorro,Chamorro,cha,Chamorro,Austronesian,13d27 N,13.45,144d45 E,144.75,,,,,,Adj is verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & AdjN & NumN
Palauan,Palauan,pau,Palauan,Austronesian,7d30 N,7.5,134d35 E,134.583333333333,Dem-Num-A-N,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & AdjN & NumN
Ilocano,Ilocano,ilo,Northern Luzon,Austronesian,16d N,16,121d E,121,,,Adj is verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,,Adj is verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & AdjN & NumN
Mamanwa,Mamanwa,mmn,Greater Central Philippine,Austronesian,9d25 N,9.41666666666667,125d30 E,125.5,,,,Lg has numeral classifiers & Num closer to noun than Dem,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,,,
Tboli,Tboli,tbl,Bilic,Austronesian,6d10 N,6.16666666666667,124d30 E,124.5,Num-N-A-Dem,,,,,,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,
Ratahan,Torat�n,rth,Sangiric,Austronesian,1d05 N,1.08333333333333,124d50 E,124.833333333333,Num-N-A-Dem,,,,,,,,,
Tondano,Tondano,tdn,Minahasan,Austronesian,1d15 N,1.25,125d E,125,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Muna,Muna,mnb,Celebic,Austronesian,5d S,-5,122d30 E,122.5,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Wolio,Wolio,wlo,Celebic,Austronesian,5d30 S,-5.5,122d45 E,122.75,Num-N-A-Dem,,Adj is verb & Adj closer to noun than Dem,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NumN
Tukang Besi,Tukang Besi,khc,Celebic,Austronesian,5d30 S,-5.5,123d30 E,123.5,N-A-Num-Dem,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is verb & NAdj,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Pendau,Pendau,ums,Celebic,Austronesian,0d15 N,0.25,119d55 E,119.916666666667,Num-N-A-Dem,,Adj is verb & Adj closer to noun than Dem,,,Adj is verb & NAdj,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,Adj is verb & NAdj & NumN
Padoe,Padoe,pdo,Celebic,Austronesian,2d20 N,2.33333333333333,121d20 E,121.333333333333,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Selayar,Selayar,sly,South Sulawesi,Austronesian,6d S,-6,120d30 E,120.5,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Begak-Ida'an,Begak-Ida'an,dbj,North Borneo,Austronesian,5d15 N,5.25,118d50 E,118.833333333333,N-A-Num-Dem,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is verb & NAdj,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Timugon,Timugon,tih,North Borneo,Austronesian,5d N,5,116d E,116,,,,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NumN
Kimaragang,Kimaragang,kqr,North Borneo,Austronesian,6d30 N,6.5,116d50 E,116.833333333333,,,,,,Adj is verb & NAdj,,,,
Tatana',Tatana',txx,North Borneo,Austronesian,5d30 N,5.5,115d30 E,115.5,Num-N-A-Dem,,Adj is verb & Adj closer to noun than Dem,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NumN
Belait,Belait,beg,North Borneo,Austronesian,4d25 N,4.41666666666667,114d25 E,114.416666666667,,,,,,Adj is verb & NAdj,,,,
Ma'anyan,Ma'anyan,mhy,Barito,Austronesian,2d S,-2,115d E,115,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Bajau (West Coast),Bajau (West Coast),bdr,Sama-Bajaw,Austronesian,6d20 N,6.33333333333333,116d20 E,116.333333333333,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Yakan,Yakan,yka,Sama-Bajaw,Austronesian,6d30 N,6.5,122d E,122,N-A-Num-Dem,,,,,,,,,
Lampung,Lampung,ljp,Lampungic,Austronesian,5d S,-5,105d E,105,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Nias,Nias,nia,Northwest Sumatra-Barrier Islands,Austronesian,1d N,1,97d45 E,97.75,N-A-Num-Dem,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is verb & NAdj,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Alas,Alas,btz,Northwest Sumatra-Barrier Islands,Austronesian,3d40 N,3.66666666666667,97d50 E,97.8333333333333,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Batak (Karo),Batak (Karo),btx,Northwest Sumatra-Barrier Islands,Austronesian,3d15 N,3.25,98d15 E,98.25,Num-N-A-Dem,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NumN
Gayo,Gayo,gay,Northwest Sumatra-Barrier Islands,Austronesian,4d30 N,4.5,97d30 E,97.5,Num-N-A-Dem,,,,,,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,
Moklen,Moklen,mkm,Moklen-Moken,Austronesian,8d40 N,8.66666666666667,98d15 E,98.25,,,,,,,,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Moken,Moken,mwt,Moklen-Moken,Austronesian,12d N,12,98d E,98,N-A-Num-Dem,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Sundanese,Sundanese,sun,Malayo-Sumbawan,Austronesian,7d S,-7,107d E,107,Num-N-A-Dem,,,,,,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,
Iban,Iban,iba,Malayo-Sumbawan,Austronesian,2d N,2,113d E,113,,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Salako,Salako,knx,Malayo-Sumbawan,Austronesian,0d40 N,0.666666666666667,110d E,110,Num-N-A-Dem,,,,,,,,,
Minangkabau,Minangkabau,min,Malayo-Sumbawan,Austronesian,1d S,-1,101d E,101,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Indonesian,Indonesian,ind,Malayo-Sumbawan,Austronesian,0d S,0.0,106d E,106,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Manadonese,Manadonese,xmm,Malayo-Sumbawan,Austronesian,1d30 N,1.5,124d50 E,124.833333333333,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,
Acehnese,Acehnese,ace,Malayo-Sumbawan,Austronesian,5d30 N,5.5,95d30 E,95.5,Num-N-A-Dem,,Adj is verb & Adj closer to noun than Dem,,,Adj is verb & NAdj,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,Adj is verb & NAdj & NumN
Cham (Eastern),Cham (Eastern),cjm,Malayo-Sumbawan,Austronesian,11d20 N,11.3333333333333,108d30 E,108.5,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Cham (Western),Cham (Western),cja,Malayo-Sumbawan,Austronesian,12d N,12,105d30 E,105.5,,,,,,,,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Buru,Buru,mhs,Central Malayo-Polynesian,Austronesian,3d30 S,-3.5,126d30 E,126.5,N-A-Num-Dem,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Batuley,Batuley,bay,Central Malayo-Polynesian,Austronesian,5d45 S,-5.75,134d47 E,134.783333333333,N-A-Num-Dem,,,,,,,,,
Nuaulu,Nuaulu,nxl,Central Malayo-Polynesian,Austronesian,3d15 S,-3.25,129d10 E,129.166666666667,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Paulohi,Paulohi,plh,Central Malayo-Polynesian,Austronesian,3d15 S,-3.25,128d45 E,128.75,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Selaru,Selaru,slu,Central Malayo-Polynesian,Austronesian,8d15 S,-8.25,131d E,131,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Lamaholot,Lamaholot,slp,Central Malayo-Polynesian,Austronesian,8d15 S,-8.25,122d55 E,122.916666666667,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Tetun,Tetun,tet,Central Malayo-Polynesian,Austronesian,9d S,-9,126d E,126,,,Adj is not verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,,Adj is not verb & NAdj,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Tetun Dili,Tetun Dili,tdt,Central Malayo-Polynesian,Austronesian,8d35 S,-8.58333333333333,125d35 E,125.583333333333,,,,Lg has numeral classifiers & Num closer to noun than Dem,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Tugun,Tugun,tzn,Central Malayo-Polynesian,Austronesian,7d43 S,-7.71666666666667,126d45 E,126.75,N-A-Num-Dem,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is verb & NAdj,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Leti,Leti,lti,Central Malayo-Polynesian,Austronesian,8d12 S,-8.2,127d40 E,127.666666666667,N-A-Num-Dem,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NNum
Manggarai,Manggarai,mqy,Central Malayo-Polynesian,Austronesian,8d30 S,-8.5,120d20 E,120.333333333333,Num-N-A-Dem,,,,,,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,
Keo,Keo,xxk,Central Malayo-Polynesian,Austronesian,8d50 S,-8.83333333333333,121d15 E,121.25,N-A-Num-Dem,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Irarutu,Irarutu,irh,South Halmahera - West New Guinea,Austronesian,3d S,-3,133d30 E,133.5,N-A-Num-Dem,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Taba,Taba,mky,South Halmahera - West New Guinea,Austronesian,0d N,0,127d30 E,127.5,N-A-Num-Dem,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is verb & NAdj,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & NAdj & NNum
Mor,Mor,mhz,South Halmahera - West New Guinea,Austronesian,2d57 S,-2.95,135d45 E,135.75,N-Dem-A-Num,,,,,,,,,
Biak,Biak,bhw,South Halmahera - West New Guinea,Austronesian,1d S,-1,136d E,136,N-A-Num-Dem,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,,,Adj is verb & NAdj,,,,Adj is verb & NAdj & NNum
Ambai,Ambai,amk,South Halmahera - West New Guinea,Austronesian,1d50 S,-1.83333333333333,136d30 E,136.5,N-A-Num-Dem,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Warembori,Warembori,wsa,South Halmahera - West New Guinea,Austronesian,1d40 S,-1.66666666666667,137d35 E,137.583333333333,N-A-Dem-Num,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num further from noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Yapese,Yapese,yap,Yapese,Austronesian,9d35 N,9.58333333333333,138d10 E,138.166666666667,Num-N-Dem-A,,Adj is not verb & Adj further from noun than Dem,,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NumN
Maisin,Maisin,mbq,Oceanic,Austronesian,9d30 S,-9.5,149d10 E,149.166666666667,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,,Adj is not verb & NAdj & NNum
Sobei,Sobei,sob,Oceanic,Austronesian,1d55 S,-1.91666666666667,138d45 E,138.75,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Tobati,Tobati,tti,Oceanic,Austronesian,2d35 S,-2.58333333333333,140d40 E,140.666666666667,,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Arop-Sissano,Arop-Sissano,aps,Oceanic,Austronesian,3d05 S,-3.08333333333333,142d05 E,142.083333333333,N-A-Num-Dem,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NNum
Kairiru,Kairiru,kxa,Oceanic,Austronesian,3d20 S,-3.33333333333333,143d35 E,143.583333333333,N-A-Num-Dem,,,,,,,,,
