N|Uuki,ngh,Tuu,Tuu,29d43S,19d05E,,,,,Lg lacks numeral classifiers & Adj further from noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
English,eng,Germanic,Indo-European,52dN,1dW,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Frisian,fry,Germanic,Indo-European,53dN,5dE,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & NRel & AdjN,
Russian,rus,Slavic,Indo-European,56dN,38dE,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Ukrainian,ukr,Slavic,Indo-European,49dN,33dE,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Polish,pol,Slavic,Indo-European,52dN,20dE,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Czech,ces,Slavic,Indo-European,50dN,15dE,,Adj is not verb & Adj closer to noun than Num,,,,Adj is not verb & AdjN,,,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Bulgarian,bul,Slavic,Indo-European,42d30N,25dE,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Serbian-Croatian,srp,Slavic,Indo-European,44dN,19dE,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NumN
Latvian,lav,Baltic,Indo-European,57dN,24dE,,,,,,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Albanian,aln,Albanian,Indo-European,41dN,20dE,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NumN
Greek (Modern),ell,Greek,Indo-European,39dN,22dE,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Armenian (Eastern),hye,Armenian,Indo-European,40dN,45dE,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Ossetic,oss,Iranian,Indo-European,43dN,44dE,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Pashto,pst,Iranian,Indo-European,33dN,67dE,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Wakhi,wbl,Iranian,Indo-European,36d30N,72dE,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Shughni,sgh,Iranian,Indo-European,38d10N,72d10E,Dem-Num-A-N,,,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Ormuri,oru,Iranian,Indo-European,32d30N,69d45E,,,,,,Adj is not verb & AdjN,,,,
Kurdish (Central),ckb,Iranian,Indo-European,38dN,43dE,,,,,,Adj is not verb & NAdj,,Lg has numeral classifiers & Num and Adj occur on different sides of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NumN
Kurmanji,kmr,Iranian,Indo-European,37dN,43dE,Dem-Num-N-A,,,Lg lacks numeral classifiers & Num closer to noun than Dem,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,,Adj is not verb & NAdj & NumN
Zazaki,diq,Iranian,Indo-European,39dN,41dE,Dem-Num-N-A,,,Lg lacks numeral classifiers & Num closer to noun than Dem,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NumN
Baluchi,bgn,Iranian,Indo-European,28dN,62dE,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Persian,pes,Iranian,Indo-European,32dN,54dE,,,,,,Adj is not verb & NAdj,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NumN
Tajik,tgk,Iranian,Indo-European,38d40N,70dE,,,,,,Adj is not verb & NAdj,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NumN
Waigali,wbk,Nuristani,Indo-European,35dN,71d15E,Num-Dem-A-N,,,,,,,,,
Dhivehi,div,Indic,Indo-European,4d10N,73d30E,Dem-A-Num-N,Adj is not verb & Adj further from noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj further from noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Sinhala,sin,Indic,Indo-European,7dN,80d30E,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NNum
Marathi,mar,Indic,Indo-European,19dN,76dE,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NumN
Konkani,knn,Indic,Indo-European,19d15N,73d55E,Dem-Num-A-N,,,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Domari (Modern),rmt,Indic,Indo-European,32dN,35dE,,,,,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on different sides of noun,Adjs are not verbs & NRel & NAdj,Adj is not verb & NAdj & NumN
Romani (Welsh),rmw,Indic,Indo-European,52dN,4dW,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Hindi,hin,Indic,Indo-European,25dN,77dE,,,,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NumN
Urdu,urd,Indic,Indo-European,25dN,67dE,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NumN
Lamani,lmn,Indic,Indo-European,17dN,77dE,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Gojri,gju,Indic,Indo-European,32d45N,76d15E,Dem-Num-A-N,,,,,,,,,
Gujarati,guj,Indic,Indo-European,23dN,72dE,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Kumauni,kfy,Indic,Indo-European,30dN,80dE,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Nepali,npi,Indic,Indo-European,28dN,85dE,Dem-Num-A-N,,,,,,,,,
Kalami,gwc,Indic,Indo-European,35d30N,72d30E,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NumN
Torwali,trw,Indic,Indo-European,34d15N,72dE,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NumN
Panjabi,pan,Indic,Indo-European,31dN,74dE,Dem-Num-A-N,,,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Brokskat,bkk,Indic,Indo-European,35d20N,76d30E,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NumN
Palula,phl,Indic,Indo-European,35d30N,71d53E,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Kashmiri,kas,Indic,Indo-European,34dN,76dE,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NumN
Dameli,dml,Indic,Indo-European,35d25N,72d40E,,,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Darai,dry,Indic,Indo-European,24dN,84dE,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Bhojpuri,bho,Indic,Indo-European,26dN,84dE,,,,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NumN
Oriya,ory,Indic,Indo-European,21dN,85dE,Dem-A-N-Num,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on different sides of noun,Lg has numeral classifiers & Num and Adj occur on different sides of noun,,Adj is not verb & AdjN & NNum
Bengali,ben,Indic,Indo-European,24dN,90dE,Dem-Num-A-N,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Rajbanshi,rjs,Indic,Indo-European,26d23N,88d27E,,,,,,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Halbi,hlb,Indic,Indo-European,21dN,81dE,,,,,,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Nenets (Tundra),yrk,Samoyedic,Uralic,68dN,53dE,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Selkup,sel,Samoyedic,Uralic,65dN,82dE,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Hungarian,hun,Ugric,Uralic,47dN,20dE,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Khanty,kca,Ugric,Uralic,65dN,65dE,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Mansi,mns,Ugric,Uralic,62dN,62dE,,,,,,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Udmurt,udm,Permic,Uralic,57d30N,52d30E,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Finnish,fin,Finnic,Uralic,62dN,25dE,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Estonian,ekk,Finnic,Uralic,59dN,26dE,Dem-Num-A-N,,,,,,,,,
Yukaghir (Kolyma),yux,Yukaghir,Yukaghir,65d45N,150d50E,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Dagur,dta,Mongolic,Altaic,48dN,124dE,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Mangghuer,mjg,Mongolic,Altaic,36dN,102dE,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Bao'an,peh,Mongolic,Altaic,35d35N,102dE,,,,,,Adj is not verb & NAdj,Lg lacks numeral classifiers & Num and Dem occur on different sides of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & NAdj,Adj is not verb & NAdj & NNum
Santa,sce,Mongolic,Altaic,31d30N,107d30E,Dem-Num-A-N,,,,,,,,,
Kalmyk,xal,Mongolic,Altaic,44dN,83dE,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & RelN & AdjN,
Even,eve,Tungusic,Altaic,68dN,130dE,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & RelN & AdjN,
Evenki,evn,Tungusic,Altaic,56dN,125dE,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Manchu,mnc,Tungusic,Altaic,49d30N,127d30E,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & RelN & AdjN,
Udihe,ude,Tungusic,Altaic,47d40N,136d15E,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Chuvash,chv,Turkic,Altaic,55d30N,47d30E,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Khalaj,klj,Turkic,Altaic,35dN,50dE,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Turkish,tur,Turkic,Altaic,39dN,35dE,Dem-Num-A-N,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Turkmen,tuk,Turkic,Altaic,40dN,58dE,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Azerbaijani,azj,Turkic,Altaic,40d30N,48d30E,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Saryg Yugur,ybe,Turkic,Altaic,40dN,80dE,Dem-Num-A-N,,,,,,,,,
Uzbek,uzn,Turkic,Altaic,39dN,66dE,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Bashkir,bak,Turkic,Altaic,53dN,58dE,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Tatar,tat,Turkic,Altaic,56dN,49d30E,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Korean,kor,Korean,Korean,37d30N,128dE,Dem-Num-A-N,Adj is verb & Adj closer to noun than Num,Adj is verb & Adj closer to noun than Dem,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,Adj is verb & AdjN,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & AdjN & NumN
Ainu,ain,Ainu,Ainu,43dN,143dE,,Adj is verb & Adj closer to noun than Num,,,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is verb & AdjN & NumN
Japanese,jpn,Japanese,Japonic,37dN,140dE,Dem-Num-A-N,,,Lg has numeral classifiers & Num closer to noun than Dem,Lg has numeral classifiers & Adj closer to noun than Num,,Lg has numeral classifiers & Num and Dem occur on same side of noun,Lg has numeral classifiers & Num and Adj occur on same side of noun,,
Chukchi,ckt,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,67dN,173dW,,,,,,,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,
Nivkh,niv,Nivkh,Nivkh,53d20N,142dE,,,,,,Adj is verb & AdjN,,,,
Ket,ket,Yeniseian,Yeniseian,64dN,87dE,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Georgian,kat,Kartvelian,Kartvelian,42dN,44dE,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & NRel & AdjN,Adj is not verb & AdjN & NumN
Ubykh,uby,Northwest Caucasian,Northwest Caucasian,43d40N,39d40E,,,,,,Adj is not verb & NAdj,,,Adjs are not verbs & RelN & NAdj,Adj is not verb & NAdj & NumN
Abkhaz,abk,Northwest Caucasian,Northwest Caucasian,43d05N,41dE,,,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & NAdj,,,Adjs are not verbs & RelN & NAdj,
Tsova-Tush,bbl,Nakh,Nakh-Daghestanian,42d30N,45d30E,,,,,,Adj is not verb & AdjN,,,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Chechen,che,Nakh,Nakh-Daghestanian,43d15N,45d50E,Dem-A-Num-N,Adj is not verb & Adj further from noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Ingush,inh,Nakh,Nakh-Daghestanian,43d10N,45d05E,Dem-A-Num-N,Adj is not verb & Adj further from noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj further from noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Godoberi,gdo,Avar-Andic-Tsezic,Nakh-Daghestanian,42d40N,46d05E,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,,,Adj is not verb & AdjN,,,,Adj is not verb & AdjN & NumN
Khwarshi,khv,Avar-Andic-Tsezic,Nakh-Daghestanian,42d15N,46dE,,,,,,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Tsez,ddo,Avar-Andic-Tsezic,Nakh-Daghestanian,42d15N,45d45E,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,,Adj is not verb & AdjN & NumN
Hinuq,gin,Avar-Andic-Tsezic,Nakh-Daghestanian,42d25N,45d45E,,,,,,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Hunzib,huz,Avar-Andic-Tsezic,Nakh-Daghestanian,42d10N,46d15E,Dem-Num-A-N,Adj is not verb & Adj closer to noun than Num,Adj is not verb & Adj closer to noun than Dem,Lg lacks numeral classifiers & Num closer to noun than Dem,Lg lacks numeral classifiers & Adj closer to noun than Num,Adj is not verb & AdjN,Lg lacks numeral classifiers & Num and Dem occur on same side of noun,Lg lacks numeral classifiers & Num and Adj occur on same side of noun,Adjs are not verbs & RelN & AdjN,Adj is not verb & AdjN & NumN
Archi,aqc,Lezgic,Nakh-Daghestanian,42dN,46d50E,Dem-Num-A-N,,,,,,,,,
Khinalug,kjj,Lezgic,Nakh-Daghestanian,41d10N,48d05E,,,,,,Adj is not verb & AdjN,,,,
